name,Bio,Excerpt,image,Attachment URL,Course Categories,Course Tags
Sheikh Dr. Majid Sultan Al Qassimi,"<!-- wp:paragraph -->
<p>Sheikh Dr. Majid Sultan Al Qassimi qualified as a doctor of veterinary medicine at Saint Istvan University in Budapest, Hungary. He started his work as a veterinarian in the zoo and conservation field after graduating. He moved into an administration role as a Director to oversee the Terrestrial Biodiversity and conservation activities at the Environment Agency of Abu Dhabi. He is now, the Chief Veterinary Officer of the UAE and currently Acting Assistant Undersecretary, of the Food Diversity sector, at the Ministry of Climate Change and Environment, UAE. He has a keen interest in engaging the youth to further career choices in STEM subjects, and as one of the first veterinarians from his country (there are only 10), he plays a vital role in supporting veterinary education and awareness, through public speaking, advising the university curriculum and career coaching the first batch of vet students.&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>His work as a policy maker has brought him to the center of Food Security, now looking to create clear direction for the UAE and the middle east on how technology, sustainable agriculture and traditional practices may create a food production revolution in the region. After Developing the Food Diversification strategy for the UAE with the United Nations Food and Agriculture Organization, Dr. Majid has the ability to see both a holistic ""all of country"" approach to Food Security and development of local food production, as well as dive down into specific technical subjects to navigate challenges and opportunities.&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=bKkWdIEW5Kc"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=bKkWdIEW5Kc
</div></figure>
<!-- /wp:embed -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/08/Sheikh-Dr.-Majid-Al-Qassimi-pic-scaled-1.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/OIP-5.jpg,,1|keynote speaker|Leadership|Motivation|Technology,
Michael J. Fucilli,"<!-- wp:paragraph -->
<p>Prof. Michael is a Chief Auditor Executive with a staff of 85 professionals for a public sector company with Revenues in excess of $15 billion.&nbsp; He has over 37 years of Internal Auditing experience in the private and public sector, Financial Services, Public Sector, Inventory Management, Technology &amp; SOX Reporting.,&nbsp; and has served on the Institute of Internal Auditors’ North American Board, the IIA’s Global Board, and the New York City IIA Chapter’s Board. Prof. Michael is a frequent speaker for the Institute of Internal Auditors and the MIS Training Institute on such topics as Risk Assessment, Internal Controls and Quality Assurance. Prof. Michael is a passionate and energetic speaker, receiving very high ratings by participants.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>He is currently working as an Auditor General in Metropolitan Transportation Authority and monitors budget of $10.3 million. He is leading numerous Quality Assurance Reviews of major Transit properties in the U.S. with investigative and audit responsibilities and certifies Quality Assurance Reviewer with strong knowledge and experience in Quality Standards (Silver Standards) for the management, Operation and conduct of the Offices of Inspector General practices and results.&nbsp; These standards incorporate by reference the existing professional standards for audit, investigation, and inspection and evaluation efforts such as Government Auditing Standards, issued by the U.S. General Accounting Office (GAO) and Quality Standards for Investigations, accepted by the PCIE and ECIE and consistent with appropriate Department of Justice directives.&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Education: &nbsp;&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Certified Internal Auditor&nbsp;&nbsp;&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Certified Fraud Examiner&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>St. Peter's College, Jersey City, NJ&nbsp; B.S, Accounting 1979</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Chair, American Public Transit Audit Committee&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>IIA Regional Advisor</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>President – Institute of Internal Auditors&nbsp; NY Chapter (2000)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Institute of Internal Auditors Board Member 2005&nbsp;&nbsp;&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Chairman - NYC Transit Executive Charity Committee. &nbsp; </p>
<!-- /wp:paragraph -->

<!-- wp:image {""id"":7847,""sizeSlug"":""full"",""linkDestination"":""none""} -->
<figure class=""wp-block-image size-full""><img src=""https://mena.nbbcravings.com/wp-content/uploads/2022/07/OIP-7.jpg"" alt="""" class=""wp-image-7847""/></figure>
<!-- /wp:image -->

<!-- wp:paragraph -->
<p>&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:image {""id"":7848,""sizeSlug"":""full"",""linkDestination"":""none""} -->
<figure class=""wp-block-image size-full""><img src=""https://mena.nbbcravings.com/wp-content/uploads/2022/07/Mike-Fucilli_cropped_300x300.png"" alt="""" class=""wp-image-7848""/></figure>
<!-- /wp:image -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/07/Mike-Fucilli_cropped_300x300.png.webp|https://mena.nbbcravings.com/wp-content/uploads/2022/07/OIP-6.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/OIP-7.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/Mike-Fucilli_cropped_300x300.png,,1|Artificial Intelligence|Economics|finance|keynote speaker,
Jacob Cummings,"<!-- wp:paragraph -->
<p>Jacob Cummings is the co-host of “Wake Up UAE! With Jacob and Nimi” show on Channel 4 104.8 FM, which airs every Sunday to Thursday, 6am to 10am. At 19 years of age, Jacob Cummings is currently the youngest host to command a primetime radio show in the UAE and has already distinguished himself as a key talent within radio.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Jacob found his calling at the tender age of 13 and his career took off when he joined Nova 106.9 FM, Australia from March to August 2016 as a presenter. He then joined Sea FM Sunshine Coast, Australia from August to June 2017 as a presenter and Head of Music, honing his skills and working part-time whilst completing high school. Having amassed 6 years of experience in Australia, Jacob decided it was time to take the next big step in his career and joined Channel 4 in June 2017 where he currently hosts their flagship breakfast show: “Wake Up UAE! With Jacob and Nimi.”</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Representing the voice of the millennial generation, Jacob brings a youthful, fresh and fun outlook to the morning show. His playful personality, friendly nature and ability to connect with listeners has made him a crowd favourite and enabled him to secure multiple accolades including, Australia’s Radio Today’s Top New Talent (2016), as well as Australia’s Top New Radio Personality (2016).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:image {""id"":8063,""sizeSlug"":""large"",""linkDestination"":""none""} -->
<figure class=""wp-block-image size-large""><img src=""https://mena.nbbcravings.com/wp-content/uploads/2022/08/R-1024x925.jpg"" alt="""" class=""wp-image-8063""/></figure>
<!-- /wp:image -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/08/R.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/Jacob-Cummings-Headshot-Square-500x500-1.jpg,,1|Communication|keynote speaker|media,
Nimi Metha:,"<!-- wp:paragraph -->
<p>Nimi Metha is the co-host of Channel 4’s flagship morning show, “Wake Up UAE! With Jacob and Nimi” on 104.8 FM, that airs every Sunday to Thursday, 6am to 10am.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Nimi played professional tennis until the age of 18, when she decided to switch gears and pursue her passion for broadcast journalism and now holds a degree in, Bachelor of Arts Honours in Journalism.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Joining MTV UK in 2014 as a presenter, Nimi was able to share her views and commentary on the leading fashion trends and events and gained valuable experience in hosting both live and recorded events.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Nimi was offered the opportunity to co-host the morning breakfast show on 104.8 FM, as part of a new team that would represent the voice of the millennial generation; with a special fondness for the UAE, having been a regular visitor during her childhood, coupled with the opportunity to connect with locals and expats from all over the world, Nimi was perfect for the role and can now be heard across the airwaves every weekday.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Spreading good vibes and positivity to her listeners, Nimi gives listeners their daily intake of humour, banter and above all great music! She is a great believer that if you start your day on a positive note, it can only get better and always aims to have her listeners start their day with a smile.</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=nUpEouBy-FE"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=nUpEouBy-FE
</div></figure>
<!-- /wp:embed -->

<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=9rfuXH7lnuI"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=9rfuXH7lnuI
</div></figure>
<!-- /wp:embed -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/07/OIP-7.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/OIP-8.jpg,,1|Communication|keynote speaker|media,
Nayla Al Khaja,"<!-- wp:paragraph -->
<p>Topics range from:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>? The power of Storytelling&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>? How you see Vs. What you know - Perception... and everything in between</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>? Breaking barriers and facing your own fears</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>? Women Empowerment</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>? Gender Balance in male dominated fields&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>? Film financing and cinema economy</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>? The power of film scenes and how they impact our lives&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>? The psychology of selfies in the age of speed.&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Nayla Al Khaja is the first female Film Producer and Film Director in the United Arab Emirates. Her true-life story inspires audiences everywhere; she uses humor and storytelling techniques to grab the attention of a crowd.&nbsp; She always gets a mid-way ovation in the middle of her talks. A successful business woman, she is the CEO of her own production company, Nayla Al Khaja Films (previously D-Seven Motion Pictures), and she founded in 2007 The Scene Club, Dubai’s first independent film club, which now counts over 22,000 registered members. Over the years, Nayla’s passion for Entrepreneurship, her advocacy for Women Empowerment, and her dedication to develop the UAE’s film industry, helped her reputation of respected entrepreneur and thought leader grow. Today, she is a reference in the Middle East and keeps supporting and mentoring local talents.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Nayla Al Khaja speaks fluently in Arabic and English and her topics range from Women Empowerment in the Middle East, to Female Entrepreneurship, Creativity at work, Perceptions and Ideologies, Women and Cinema, Film Financing and Cinema Economy. Her knowledge of the Khaleeji Culture is an asset to talk about topics matching the changes in the Middle Eastern societies and communities. She has tackled taboo topics, such as breaking down the Arab Woman stereotype, how to stand-out in a male dominated industry, or the crux of gender balance moving forward and its implications. She can discuss how to combat fear and chase one’s dreams, based on her extraordinary true-life story being the first female filmmaker in the UAE. As an artist, she also likes creative topics related to storytelling, or content creation.</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=obah718Z-I8"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=obah718Z-I8
</div></figure>
<!-- /wp:embed -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/07/OIP-8.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/OIP-9.jpg,,1|Entrepreneur|keynote speaker|Leadership|media,
Engr. Mahmoud AlBurai,"<!-- wp:paragraph -->
<p>Eng. Mahmoud AlBurai is currently serving as CEO of Dubai Real estate Institute. He is currently the Vice President of International real estate federation, FIABCI, UK, since Jan 2011 and sits on the board of International Real estate Society (IRES). Mahmoud has been selected to be FIABCI representative at the United Nations Economic Commission for West Asia (UNESCWA). He is also representing UNGC in the MENA region; applying Global Compact Principles and SDG’s to the real estate industry. He advises World Economic Forum on housing policies.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Prior to his position in Dubai Real estate Institute, Mahmoud worked for 3 years as Senior Director of Real estate Sector development at Real estate Regulatory Authority of Dubai and few years as a Development Associate Manager at Dubai holding. Mahmoud completed his bachelor's degree in engineering at the American University before continuing on to earn his Master's in Real Estate from National University of Singapore. Mahmoud completed his MBA in Finance from his alma mater, American University of Dubai in 2010.He is now pursuing his DBA at Grenoble ecole de management in France.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Engr. Mahmoud is also the current chairman of UN Global Compact UAE and MENA representative in the UN Global compact advisory board</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=y5KvsH3c0dw"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=y5KvsH3c0dw
</div></figure>
<!-- /wp:embed -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/07/mahmoudheshamelburaijpg-1572426612.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/mahmoudheshamelburaijpg-1572426612.jpg,,1|finance|keynote speaker,
Rohit Bassi,"<!-- wp:paragraph -->
<p>""People say I am an explorer, educator, writer, storyteller, listener and heartfelt person.""&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Individuals and organisations who engage with Rohit gain value such as:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>• Leading yourself and others with great motivation and inspiration</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>• Selling and negotiating with outstanding favourable results</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>• Communicating and collaborating with tremendous assertiveness</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Some label him as a ""compassionprenuer"" and is known to assist individuals in passing through their fears of public speaking. There have been citations about his work on media channels CBS NEWS, FOX, NBC &amp; ABC. In addition, Rohit has appeared a number times on Vietnam National Television and has an invitation to speak at TEDx. Rohit has done sessions for over 250,000+ delegates across 50+ nationalities:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>• Compassionate speaker, with 23+ years of global experience</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>• Best Selling Author with Jack Canfield for the book “Success Mastery”</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>• Engage you with the power of ACE; awareness, consciousness &amp; energy</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Sessions done in Dubai, London, Vietnam, Afghanistan, Philippines, UK, Congo, France, Australia, America, India &amp; Kenya. Delivery done for the likes of Armani Hotels &amp; Resorts, Oracle, HSBC, Harley -Davidson, KPMG, Baskin Robbins. Delivering practical, thought-provoking and energetic talks through the inspirational words of Meher Baba&nbsp; ""mastery in servitude"".&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>""Thus I am here to serve you.""</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=4jdim2-yGJ0"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=4jdim2-yGJ0
</div></figure>
<!-- /wp:embed -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/07/rohit-bassi-compassion.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/OIP-10.jpg,,1|fashion|keynote speaker|Marketing|Sales|strategist,
Ian Khan,"<!-- wp:paragraph -->
<p>Ian – A Motivational Futurist</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Ian is a CNN featured Technology Futurist, 3 times TEDx Speaker, Director of highly acclaimed documentary “Blockchain City"", Bestselling author of “7 Axioms of Value Creation”, and contributor to multiple industry publications including McGraw Hill and Forbes. He is also a member of the Forbes Coaches Council, The National Speaker Association, Association of Professional Futurist and the Project Management Institute.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Chief Futurist at boutique Future research film Futuracy, Ian is one of the top quoted experts on Blockchain. He is also the creator of the “Future Readiness Score”, a revolutionary methodology to help organizations use a data based scientific approach to profitability and success in the future.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Ian is author of 8 books and has two more books in the works to be released by mid-2020. He is currently also working on two documentary films. The first “AI The Next Frontier” is the story of the role &amp;amp; impact of Artificial Intelligence on society, culture and business, to be released in March 2020. His second documentary is to capture the transformation with governments worldwide through the Government Experience (GX) initiative launched by the UAE in 2019.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>An engineer and technologist by qualification, Ian has spent a majority of his career working within ecosystems of SAP, Microsoft and others, and now helps organizations around the world reach their potential through leadership and technology intelligence that organizations can build.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Considered to be one of todays most revolutionary speakers, Ian is a leading keynote speaker and has spoken on the same platform as President Obama, Amr Diab, Carlos Viveres, Daniel Habif, Bruce Dickinson (Iron Maiden) and others.</p>
<!-- /wp:paragraph -->

<!-- wp:image {""id"":7866,""sizeSlug"":""full"",""linkDestination"":""none""} -->
<figure class=""wp-block-image size-full""><img src=""https://mena.nbbcravings.com/wp-content/uploads/2022/07/ian_khan.jpg"" alt="""" class=""wp-image-7866""/></figure>
<!-- /wp:image -->

<!-- wp:image {""id"":7867,""sizeSlug"":""full"",""linkDestination"":""none""} -->
<figure class=""wp-block-image size-full""><img src=""https://mena.nbbcravings.com/wp-content/uploads/2022/07/Ian-Khan.jpg"" alt="""" class=""wp-image-7867""/></figure>
<!-- /wp:image -->

<!-- wp:image {""id"":7868,""sizeSlug"":""full"",""linkDestination"":""none""} -->
<figure class=""wp-block-image size-full""><img src=""https://mena.nbbcravings.com/wp-content/uploads/2022/07/OIP-11.jpg"" alt="""" class=""wp-image-7868""/></figure>
<!-- /wp:image -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/07/OIP-6.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/ian_khan.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/Ian-Khan.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/OIP-11.jpg,,1|Author|Feature|Innovation|keynote speaker|Leadership|Technology,
Rajan Datar,"<!-- wp:paragraph -->
<p>Rajan Datar is an award-winning broadcaster, features writer, moderator (and musician) with a career spanning two decades of current affairs, arts, business and documentary reporting and producing for the BBC. He's presented more than 30 acclaimed half hour BBC travelogues around the world (viewed by average audiences of 70 million). These include in the last year a two-parter on India recently repeated and a two part series on the Balkans and a Dubai special which went out in November 2017. . He has just returned from filming trips in Mauritius and Abu Dhabi. These programmes will be shown in early 2018. The Abu Dhabi is being broadcast on the weekend of 3rd and 4th February on the BBC internationally.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Rajan also presents the weekly flagship discussion show ""The Forum"" on BBC Radio 4 and the World Service. Topic covered have included 1001 Arabian Nights, History of Flamenco and The Sugar Trade. Many episodes make particular reference to Middle East and the UAE.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>In his role as presenter/writer of the BBC’s “Travel Show “ Specials series he has filmed in Cuba, Mongolia and Myanmar and completed big treks coast to coast in southern USA and in China to discover its “natural wonders”. All told he has been on some 90 filming trips around the world for the BBC!</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>He covered the Enron crisis as presenter for a BBC 2 special and fronted award winning specials on Tesco, Google and Ebay and has reported for BBC One's Watchdog .</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>For two years Rajan was a reporter on BBC2's flagship daily current affairs programme, Newsnight.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>As a literary presenter and moderator, last year Rajan hosted a trio of half hour interviews for the BBC with travel writers including Michael Palin and Colin Thubron. He has chaired several sessions at the world renowned Hay Festival for the last two years - and the Kew literary festival with Booker shortlisted author Neal Mukherjee.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Conference Speaker moderator for United Nations, World Travel Market and World Travel and Tourism Council and literary festivals. Many of these have been on the topic of Travel and the UAE. Featured in Conde Naste Traveller Magazine amongst many other</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>media outlets in UAE.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>BBC World Service Presenter “Over To You” BBC World Service – World’s biggest audience weekly feedback programme from 2006 to current day, and previously, arts show The Strand.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Frequent contributor to From Our Own Correspondent (both BBC Radio 4 and World Service)</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=yZmxCJaaYB8"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=yZmxCJaaYB8
</div></figure>
<!-- /wp:embed -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/07/cropped_d17f720f-profile_ba0cb01b-webform_Rajan_Datar_1236_Original_Large.png|https://mena.nbbcravings.com/wp-content/uploads/2022/07/OIP-12.jpg,,1|media,
Wafa AlObaida,"<!-- wp:paragraph -->
<p>Wafa is the Chief Executive Officer and Creative Director of Obai and Hill. Obai and Hill provides its clients with creative and innovative designs and strategic solutions that give them the needed competitive edge in the current marketplace. Obai and Hill aims to bring young innovative designers into a new light and bridge the gap between the unestablished younger designer and the client, creating a business for the Middle Eastern consumer and the breadth of young talent in Europe.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>In 2015, Obai and Hill received the Start Up of the Year award, hosted by the Bahrain Entrepreneurship Awards.  In line with the Kingdom’s national economic vision, the inaugural award celebrates the achievements of Bahrain’s entrepreneurs and their socio-economic role in spurring a private sector-driven economy. In addition to her involvement with Obai and Hill, Wafa is a Feature Contributor to Start Up Bahrain, an award-winning independent publication for startups and entrepreneurship, and a columnist at Khaleejesque Magazine where she writes about startups, design, and the creative industry in the Middle East. Wafa is also a Shaper in the Global Shapers Community; a network of city-based Hubs developed and led by young leaders between 20 and 30 years old who want to develop their leadership potential to better serve society. Wafa is a committee member of the SME Society in the Bahrain Chamber of Commerce. Wafa’s expertise includes community building, business management, communication skills, concept creation, managing teams, and business development. Wafa earned her Bachelor’s Degree in Interior and Spatial Design from Chelsea College of Art and Design at the University of the Arts in London. She is fluent in Arabic and English</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>.</p>
<!-- /wp:paragraph -->

<!-- wp:image {""id"":7883,""sizeSlug"":""full"",""linkDestination"":""none""} -->
<figure class=""wp-block-image size-full""><img src=""https://mena.nbbcravings.com/wp-content/uploads/2022/08/OIP-1.jpg"" alt="""" class=""wp-image-7883""/></figure>
<!-- /wp:image -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/08/OIP.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/wao-about-wafa.png|https://mena.nbbcravings.com/wp-content/uploads/2022/08/OIP-1.jpg,,1|Entrepreneur|Leadership|Technology,
